"id"|"tweet"|"created_at"
"699018550250344448"|"I took on Wall Street and opposed deregulation. I now believe that we need to break up financial institutions that are too big to fail."|"Sun Feb 14 23:53:04 +0000 2016"
"698997332759728129"|"RT @MoveOn: #GOTV and make phone calls 4 @BernieSanders! https://t.co/ie0AdXBRyN #FeelTheBern #NotMeUs https://t.co/p48RdKAeiX"|"Sun Feb 14 22:28:45 +0000 2016"
"698993127181275137"|"Our campaign is funded by the people, others are funded by Wall Street and big money interest."|"Sun Feb 14 22:12:02 +0000 2016"
"698982124490194944"|"RT @jgillanNews3LV: Says Lucy Flores: I believe now we need a political revolution. @BernieSanders @News3LV https://t.co/uyU6LWlWCT"|"Sun Feb 14 21:28:19 +0000 2016"
"698981046545612800"|"RT @joshbhaskell: Just met 3.5 month old Oliver Jack Carter Lomas @BernieSanders Las Vegas rally. His mom says he's a #BernieBaby https://t…"|"Sun Feb 14 21:24:02 +0000 2016"
"698980035135348737"|"The history of this nation has attempted to divide us. That doesn't solve problems, it makes them worse. #BernieInNV
https://t.co/mSx2M19irH"|"Sun Feb 14 21:20:01 +0000 2016"
"698979564144369664"|"Here in NV we send a strong message to the country: we will not stand for establishment politics. #BernieInNV"|"Sun Feb 14 21:18:09 +0000 2016"
"698979369608302592"|"RT @shiftmsnbc: WATCH LIVE: @BernieSanders holds rally in Las Vegas https://t.co/iW5j85y7tn https://t.co/y3hFNaCSPY"|"Sun Feb 14 21:17:22 +0000 2016"
"698965777798582272"|"RT @AnneClaireCNN: Crowd waits for @BernieSanders at Bonanza HS in Vegas. Chants of  Feel the Bern  ripple across the gym https://t.co/ohTi…"|"Sun Feb 14 20:23:22 +0000 2016"
"698961924185174016"|"Proud to be on the opposite side of an anti-immigration hate group. https://t.co/qk86jY6poZ"|"Sun Feb 14 20:08:03 +0000 2016"
"698961175602716673"|"RT @jgillanNews3LV: On the @BernieSanders beat today. Lots of people at Bonanza feelin' the Bern. @News3LV https://t.co/I3S3Hyuhz9"|"Sun Feb 14 20:05:04 +0000 2016"
"698954136096641024"|"America is about standing together as one people, not allowing ourselves to be divided up by religion or nationality."|"Sun Feb 14 19:37:06 +0000 2016"
"698930218036129792"|"Executives at Exxon pioneered the research on climate change before anyone else did, and lied about it to protect their bottom line."|"Sun Feb 14 18:02:04 +0000 2016"
"698919900358828033"|"RT @FaceTheNation:  The momentum is with us, and we're going to do quite well in South Carolina,   @BernieSanders tells @jdickerson"|"Sun Feb 14 17:21:04 +0000 2016"
"698910092415016960"|"People who graduated in 2014 with student debt owed an average of $30,000 each. That’s unsustainable and unforgivable."|"Sun Feb 14 16:42:05 +0000 2016"
"698886328268619776"|"RT @ErinBrockovich: I've joined @BernieSanders in a call to save our water system -  THIS IS A MATTER OF NATIONAL SECURITY https://t.co/Is4…"|"Sun Feb 14 15:07:39 +0000 2016"
"698885191885058049"|"RT @ThisWeekABC: .@BernieSanders hopes Pres. Obama nominates replacement for Scalia  as soon as possible  https://t.co/1K7eblCcNy https://t…"|"Sun Feb 14 15:03:09 +0000 2016"
"698875612727869441"|"RT @FaceTheNation: Senator @BernieSanders will be on #FTN this morning. Don't miss it!"|"Sun Feb 14 14:25:05 +0000 2016"
